pre_holding_cost,pre_backlog_cost,pre_system_cost,pre_profit_psc,pre_fill_hc1,pre_fill_hc2,pre_fill_agg,pre_fill_dispersion,pre_lost_u,during_holding_cost,during_backlog_cost,during_system_cost,during_profit_psc,during_fill_hc1,during_fill_hc2,during_fill_agg,during_fill_dispersion,during_lost_u,post_holding_cost,post_backlog_cost,post_system_cost,post_profit_psc,post_fill_hc1,post_fill_hc2,post_fill_agg,post_fill_dispersion,post_lost_u,episode_holding_cost,episode_backlog_cost,episode_system_cost,episode_profit_psc,episode_fill_hc1,episode_fill_hc2,episode_fill_agg,episode_fill_dispersion,episode_lost_u,peak_backlog_ds1,peak_backlog_ds2,peak_backlog_system,aub_ds1_during_post,ttr_ds1,rule,seed
16767.0,320.0,17087.0,157868.0,1.0,1.0,1.0,0.0,0,5651.0,942080.0,947731.0,-768121.0,1.0,1.0,1.0,0.0,0,133195.0,120270.0,253465.0,255425.0,1.0,1.0,1.0,0.0,0,155613.0,1062670.0,1218283.0,-354828.0,1.0,1.0,1.0,0.0,0,999.0,573.0,2856.0,33640.0,7,equal,16
16342.0,160.0,16502.0,158738.0,1.0,1.0,1.0,0.0,0,5851.0,964950.0,970801.0,-788871.0,1.0,1.0,1.0,0.0,0,136322.0,122340.0,258662.0,247688.0,1.0,1.0,1.0,0.0,0,158515.0,1087450.0,1245965.0,-382445.0,1.0,1.0,1.0,0.0,0,1011.0,589.0,2957.0,34219.0,7,equal,17
16505.0,990.0,17495.0,158355.0,1.0,1.0,1.0,0.0,0,5860.0,945370.0,951230.0,-771195.0,1.0,1.0,1.0,0.0,0,135292.0,125160.0,260452.0,248173.0,1.0,1.0,1.0,0.0,0,157657.0,1071520.0,1229177.0,-364667.0,1.0,1.0,1.0,0.0,0,1009.0,544.0,2827.0,34056.0,7,equal,18
16586.0,320.0,16906.0,158959.0,1.0,1.0,1.0,0.0,0,5974.0,944340.0,950314.0,-769909.0,1.0,1.0,1.0,0.0,0,134870.0,119400.0,254270.0,252080.0,1.0,1.0,1.0,0.0,0,157430.0,1064060.0,1221490.0,-358870.0,1.0,1.0,1.0,0.0,0,997.0,575.0,2893.0,33665.0,7,equal,19
16363.0,610.0,16973.0,160582.0,1.0,1.0,1.0,0.0,0,6009.0,942890.0,948899.0,-767924.0,1.0,1.0,1.0,0.0,0,133316.0,120340.0,253656.0,253804.0,1.0,1.0,1.0,0.0,0,155688.0,1063840.0,1219528.0,-353538.0,1.0,1.0,1.0,0.0,0,1000.0,574.0,2910.0,33589.0,7,equal,20
16961.0,790.0,17751.0,158564.0,1.0,1.0,1.0,0.0,0,6535.0,946020.0,952555.0,-773455.0,1.0,1.0,1.0,0.0,0,132305.0,119230.0,251535.0,255465.0,1.0,1.0,1.0,0.0,0,155801.0,1066040.0,1221841.0,-359426.0,1.0,1.0,1.0,0.0,0,1002.0,572.0,2899.0,34047.0,7,equal,21
17096.0,260.0,17356.0,160064.0,1.0,0.9996685998342999,0.9998343273691186,0.000331400165700102,0,6253.0,943030.0,949283.0,-769208.0,1.0,1.000346680533888,1.0001741705129321,-0.0003466805338880885,0,133973.0,121680.0,255653.0,251352.0,0.999708862233609,1.0,0.9998543038638615,-0.0002911377663910031,0,157322.0,1064970.0,1222292.0,-357792.0,0.9998271391529818,1.0,0.9999136039258376,-0.00017286084701817472,0,1004.0,574.0,2886.0,33804.0,7,equal,22
17290.0,190.0,17480.0,157875.0,1.0,1.0,1.0,0.0,0,5741.0,942170.0,947911.0,-767636.0,1.0,1.0,1.0,0.0,0,135538.0,121670.0,257208.0,249972.0,1.0,1.0,1.0,0.0,0,158569.0,1064030.0,1222599.0,-359789.0,1.0,1.0,1.0,0.0,0,995.0,573.0,2898.0,33536.0,7,equal,23
17029.0,220.0,17249.0,157931.0,1.0,1.0,1.0,0.0,0,5815.0,958210.0,964025.0,-782600.0,1.0,1.0,1.0,0.0,0,135331.0,120660.0,255991.0,253449.0,1.0,1.0,1.0,0.0,0,158175.0,1079090.0,1237265.0,-371220.0,1.0,1.0,1.0,0.0,0,1003.0,581.0,2884.0,33730.0,7,equal,24
16344.0,290.0,16634.0,159906.0,1.0,1.0,1.0,0.0,0,6187.0,929750.0,935937.0,-756817.0,1.0,1.0,1.0,0.0,0,135597.0,121580.0,257177.0,252638.0,1.0,1.0,1.0,0.0,0,158128.0,1051620.0,1209748.0,-344273.0,1.0,1.0,1.0,0.0,0,998.0,556.0,2797.0,33399.0,7,equal,25
16931.0,290.0,17221.0,158789.0,1.0,1.0,1.0,0.0,0,5793.0,938170.0,943963.0,-765118.0,1.0,1.0,1.0,0.0,0,135283.0,121390.0,256673.0,252947.0,1.0,1.0,1.0,0.0,0,158007.0,1059850.0,1217857.0,-353382.0,1.0,1.0,1.0,0.0,0,997.0,567.0,2903.0,33465.0,7,equal,26
16618.0,660.0,17278.0,158252.0,0.9988344988344988,1.0,0.9994141769185706,-0.0011655011655011815,0,5577.0,927360.0,932937.0,-753772.0,1.0012237762237761,1.0,1.0006116742397764,0.0012237762237761185,0,134155.0,120660.0,254815.0,255055.0,1.0,1.0,1.0,0.0,0,156350.0,1048680.0,1205030.0,-340465.0,1.0,1.0,1.0,0.0,0,987.0,572.0,2828.0,33242.0,7,equal,27
17043.0,110.0,17153.0,158302.0,1.0,1.0,1.0,0.0,0,5435.0,947680.0,953115.0,-772670.0,1.0,1.0,1.0,0.0,0,136220.0,120910.0,257130.0,251540.0,1.0,1.0,1.0,0.0,0,158698.0,1068700.0,1227398.0,-362828.0,1.0,1.0,1.0,0.0,0,993.0,573.0,2901.0,33490.0,7,equal,28
16699.0,590.0,17289.0,158341.0,1.0,1.0,1.0,0.0,0,5992.0,959830.0,965822.0,-784897.0,1.0,1.0,1.0,0.0,0,135825.0,120940.0,256765.0,251265.0,1.0,1.0,1.0,0.0,0,158516.0,1081360.0,1239876.0,-375291.0,1.0,1.0,1.0,0.0,0,1009.0,599.0,2973.0,33977.0,7,equal,29
16694.0,690.0,17384.0,158361.0,1.0,1.0,1.0,0.0,0,6362.0,971510.0,977872.0,-796167.0,1.0,1.0,1.0,0.0,0,137219.0,121410.0,258629.0,248231.0,1.0,1.0,1.0,0.0,0,160275.0,1093610.0,1253885.0,-389575.0,1.0,1.0,1.0,0.0,0,1016.0,597.0,2976.0,34436.0,7,equal,30
16247.0,390.0,16637.0,159043.0,1.0,1.0,1.0,0.0,0,5446.0,837600.0,843046.0,-662311.0,1.0,1.0,1.0,0.0,0,122646.0,103400.0,226046.0,282339.0,1.0,1.0,1.0,0.0,0,144339.0,941390.0,1085729.0,-220929.0,1.0,1.0,1.0,0.0,0,733.0,675.0,2874.0,26585.0,6,prio_hc1,11
15286.0,740.0,16026.0,160004.0,1.0,1.0,1.0,0.0,0,6161.0,836750.0,842911.0,-663231.0,1.0,1.0,1.0,0.0,0,117501.0,96660.0,214161.0,294779.0,1.0,1.0,1.0,0.0,0,138948.0,934150.0,1073098.0,-208448.0,1.0,1.0,1.0,0.0,0,735.0,698.0,2921.0,26503.0,6,prio_hc1,12
14717.0,490.0,15207.0,162513.0,1.0,1.0,1.0,0.0,0,5831.0,820680.0,826511.0,-647526.0,1.0,1.0,1.0,0.0,0,121633.0,101280.0,222913.0,284072.0,1.0,1.0,1.0,0.0,0,142181.0,922450.0,1064631.0,-200941.0,1.0,1.0,1.0,0.0,0,727.0,654.0,2830.0,26366.0,6,prio_hc1,13
15142.0,570.0,15712.0,159688.0,1.0,1.0,1.0,0.0,0,5359.0,830530.0,835889.0,-656044.0,1.0,1.0,1.0,0.0,0,126228.0,97820.0,224048.0,286057.0,1.0,1.0,1.0,0.0,0,146729.0,928920.0,1075649.0,-210299.0,1.0,1.0,1.0,0.0,0,728.0,656.0,2830.0,26608.0,6,prio_hc1,14
15695.0,380.0,16075.0,159890.0,0.9994972347913524,1.0,0.9997494571571739,-0.0005027652086475598,0,5991.0,850470.0,856461.0,-675466.0,1.0005210142410559,1.0,1.000259965337955,0.0005210142410558838,0,122427.0,106990.0,229417.0,278973.0,1.0,1.0,1.0,0.0,0,144113.0,957840.0,1101953.0,-236603.0,1.0,1.0,1.0,0.0,0,744.0,710.0,2938.0,27467.0,6,prio_hc1,15
16005.0,320.0,16325.0,158690.0,1.0,1.0,1.0,0.0,0,5498.0,826990.0,832488.0,-653258.0,1.0,1.0,1.0,0.0,0,120358.0,108510.0,228868.0,279972.0,1.0,1.0,1.0,0.0,0,141861.0,935820.0,1077681.0,-214596.0,1.0,1.0,1.0,0.0,0,729.0,663.0,2841.0,27069.0,6,prio_hc1,16
15820.0,160.0,15980.0,159320.0,1.0,1.0,1.0,0.0,0,5727.0,847740.0,853467.0,-671992.0,1.0,1.0,1.0,0.0,0,121027.0,93820.0,214847.0,291468.0,1.0,0.999883761478554,0.9999416382152966,0.00011623852144604374,0,142574.0,941720.0,1084294.0,-221204.0,1.0,0.9999308317482276,0.9999653895407192,6.916825177238906e-05,0,735.0,726.0,2959.0,26288.0,6,prio_hc1,17
15639.0,1010.0,16649.0,159221.0,1.0,1.0,1.0,0.0,0,5894.0,831770.0,837664.0,-657949.0,1.0,1.0,1.0,0.0,0,117423.0,96510.0,213933.0,294422.0,1.0,1.0,1.0,0.0,0,138956.0,929290.0,1068246.0,-204306.0,1.0,1.0,1.0,0.0,0,737.0,665.0,2865.0,26393.0,6,prio_hc1,18
15570.0,360.0,15930.0,159935.0,1.0,1.0,1.0,0.0,0,5858.0,839580.0,845438.0,-665333.0,1.0,1.0,1.0,0.0,0,122247.0,101680.0,223927.0,282233.0,1.0,1.0,1.0,0.0,0,143675.0,941620.0,1085295.0,-223165.0,1.0,1.0,1.0,0.0,0,736.0,685.0,2904.0,26971.0,6,prio_hc1,19
15288.0,660.0,15948.0,161607.0,1.0,1.0,1.0,0.0,0,6048.0,833040.0,839088.0,-658393.0,1.0,1.0,1.0,0.0,0,121232.0,102250.0,223482.0,284048.0,1.0,1.0,1.0,0.0,0,142568.0,935950.0,1078518.0,-212738.0,1.0,1.0,1.0,0.0,0,726.0,699.0,2926.0,26589.0,6,prio_hc1,20
15703.0,770.0,16473.0,159832.0,1.0,1.0,1.0,0.0,0,6493.0,830120.0,836613.0,-657868.0,1.0,1.0,1.0,0.0,0,120345.0,96950.0,217295.0,289860.0,1.0,1.0,1.0,0.0,0,142541.0,927840.0,1070381.0,-208176.0,1.0,1.0,1.0,0.0,0,724.0,667.0,2872.0,26521.0,6,prio_hc1,21
15704.0,260.0,15964.0,161436.0,1.0,0.9996685998342999,0.9998343273691186,0.000331400165700102,0,6182.0,833150.0,839332.0,-659447.0,1.0,1.000346680533888,1.0001741705129321,-0.0003466805338880885,0,119767.0,102400.0,222167.0,284858.0,0.999708862233609,1.0,0.9998543038638615,-0.0002911377663910031,0,141653.0,935810.0,1077463.0,-213153.0,0.9998271391529818,1.0,0.9999136039258376,-0.00017286084701817472,0,731.0,661.0,2869.0,26794.0,6,prio_hc1,22
16007.0,200.0,16207.0,159158.0,1.0,1.0,1.0,0.0,0,5567.0,824570.0,830137.0,-650327.0,1.0,1.0,1.0,0.0,0,128993.0,109840.0,238833.0,270482.0,1.0,1.0,1.0,0.0,0,150567.0,934610.0,1085177.0,-220687.0,1.0,1.0,1.0,0.0,0,716.0,690.0,2881.0,27055.0,6,prio_hc1,23
16141.0,380.0,16521.0,158669.0,1.0,1.0,1.0,0.0,0,5597.0,842130.0,847727.0,-666777.0,1.0,1.0,1.0,0.0,0,121747.0,97100.0,218847.0,291098.0,1.0,1.0,1.0,0.0,0,143485.0,939610.0,1083095.0,-217010.0,1.0,1.0,1.0,0.0,0,727.0,695.0,2915.0,26257.0,6,prio_hc1,24
15396.0,530.0,15926.0,160644.0,1.0,1.0,1.0,0.0,0,6149.0,815040.0,821189.0,-642449.0,1.0,1.0,1.0,0.0,0,119659.0,102880.0,222539.0,286641.0,1.0,1.0,1.0,0.0,0,141204.0,918450.0,1059654.0,-195164.0,1.0,1.0,1.0,0.0,0,730.0,640.0,2796.0,26488.0,6,prio_hc1,25
15667.0,290.0,15957.0,160063.0,1.0,1.0,1.0,0.0,0,5674.0,821690.0,827364.0,-649034.0,1.0,1.0,1.0,0.0,0,119139.0,95420.0,214559.0,295001.0,1.0,1.0,1.0,0.0,0,140480.0,917400.0,1057880.0,-193970.0,1.0,1.0,1.0,0.0,0,720.0,677.0,2863.0,25648.0,6,prio_hc1,26
16148.0,660.0,16808.0,158752.0,0.9988344988344988,1.0,0.9994141769185706,-0.0011655011655011815,0,5634.0,819410.0,825044.0,-646079.0,1.0012237762237761,1.0,1.0006116742397764,0.0012237762237761185,0,119807.0,98560.0,218367.0,291113.0,1.0,1.0,1.0,0.0,0,141589.0,918630.0,1060219.0,-196214.0,1.0,1.0,1.0,0.0,0,728.0,662.0,2819.0,26218.0,6,prio_hc1,27
16153.0,110.0,16263.0,159212.0,1.0,1.0,1.0,0.0,0,5250.0,836940.0,842190.0,-662165.0,1.0,1.0,1.0,0.0,0,122197.0,92790.0,214987.0,295883.0,1.0,1.0,1.0,0.0,0,143600.0,929840.0,1073440.0,-207070.0,1.0,1.0,1.0,0.0,0,729.0,687.0,2883.0,26187.0,6,prio_hc1,28
15621.0,610.0,16231.0,159399.0,1.0,1.0,1.0,0.0,0,5758.0,836980.0,842738.0,-662373.0,1.0,1.0,1.0,0.0,0,132557.0,110660.0,243217.0,265468.0,1.0,1.0,1.0,0.0,0,153936.0,948250.0,1102186.0,-237506.0,1.0,1.0,1.0,0.0,0,730.0,677.0,2877.0,27186.0,6,prio_hc1,29
15951.0,1000.0,16951.0,158784.0,1.0,1.0,1.0,0.0,0,6255.0,862990.0,869245.0,-687805.0,1.0,1.0,1.0,0.0,0,122957.0,100810.0,223767.0,282433.0,1.0,0.9998830751242327,0.9999416824610001,0.00011692487576731025,0,145163.0,964800.0,1109963.0,-246588.0,1.0,0.9999305676097899,0.9999654086962537,6.943239021006686e-05,0,754.0,714.0,2980.0,27410.0,7,prio_hc1,30
16081.0,150.0,16231.0,159449.0,1.0,1.0,1.0,0.0,0,5359.0,836260.0,841619.0,-660984.0,1.0,1.0,1.0,0.0,0,118162.0,94170.0,212332.0,296333.0,1.0,1.0,1.0,0.0,0,139602.0,930580.0,1070182.0,-205202.0,1.0,1.0,1.0,0.0,0,727.0,687.0,2891.0,25807.0,6,prio_hc2,11
15277.0,670.0,15947.0,160093.0,1.0,1.0,1.0,0.0,0,6115.0,834750.0,840865.0,-661245.0,1.0,1.0,1.0,0.0,0,119844.0,100840.0,220684.0,288296.0,1.0,1.0,1.0,0.0,0,141236.0,936260.0,1077496.0,-212856.0,1.0,1.0,1.0,0.0,0,734.0,687.0,2897.0,26760.0,6,prio_hc2,12
14709.0,570.0,15279.0,162431.0,1.0,1.0,1.0,0.0,0,5754.0,821970.0,827724.0,-648739.0,1.0,1.0,1.0,0.0,0,119761.0,101190.0,220951.0,286034.0,1.0,1.0,1.0,0.0,0,140224.0,923730.0,1063954.0,-200274.0,1.0,1.0,1.0,0.0,0,730.0,652.0,2827.0,26402.0,6,prio_hc2,13
15152.0,670.0,15822.0,159578.0,1.0,1.0,1.0,0.0,0,5256.0,823790.0,829046.0,-649251.0,1.0,1.0,1.0,0.0,0,129620.0,83400.0,213020.0,298315.0,1.0,1.0,1.0,0.0,0,150028.0,907860.0,1057888.0,-191358.0,1.0,1.0,1.0,0.0,0,720.0,651.0,2803.0,24934.0,6,prio_hc2,14
15798.0,410.0,16208.0,159757.0,0.9994972347913524,1.0,0.9997494571571739,-0.0005027652086475598,0,5937.0,855350.0,861287.0,-680292.0,1.0005210142410559,1.0,1.000259965337955,0.0005210142410558838,0,125078.0,100720.0,225798.0,284302.0,1.0,1.0,1.0,0.0,0,146813.0,956480.0,1103293.0,-236233.0,1.0,1.0,1.0,0.0,0,746.0,710.0,2958.0,27463.0,6,prio_hc2,15
16045.0,320.0,16365.0,158650.0,1.0,1.0,1.0,0.0,0,5577.0,826700.0,832277.0,-653047.0,1.0,1.0,1.0,0.0,0,133798.0,106230.0,240028.0,270817.0,1.0,1.0,1.0,0.0,0,155420.0,933250.0,1088670.0,-223580.0,1.0,1.0,1.0,0.0,0,727.0,670.0,2825.0,26976.0,6,prio_hc2,16
15810.0,160.0,15970.0,159300.0,1.0,1.0,1.0,0.0,0,5689.0,851300.0,856989.0,-675454.0,1.0,1.0,1.0,0.0,0,122775.0,98000.0,220775.0,285475.0,1.0,0.999883761478554,0.9999416382152966,0.00011623852144604374,0,144274.0,949460.0,1093734.0,-230679.0,1.0,0.9999308317482276,0.9999653895407192,6.916825177238906e-05,0,739.0,736.0,2984.0,26772.0,6,prio_hc2,17
