seed,pre_holding_cost,pre_backlog_cost,pre_system_cost,pre_profit_psc,pre_fill_hc1,pre_fill_hc2,pre_fill_agg,pre_fill_dispersion,pre_lost_u,during_holding_cost,during_backlog_cost,during_system_cost,during_profit_psc,during_fill_hc1,during_fill_hc2,during_fill_agg,during_fill_dispersion,during_lost_u,post_holding_cost,post_backlog_cost,post_system_cost,post_profit_psc,post_fill_hc1,post_fill_hc2,post_fill_agg,post_fill_dispersion,post_lost_u,episode_holding_cost,episode_backlog_cost,episode_system_cost,episode_profit_psc,episode_fill_hc1,episode_fill_hc2,episode_fill_agg,episode_fill_dispersion,episode_lost_u,peak_backlog_ds1,peak_backlog_ds2,peak_backlog_system,aub_ds1_during_post,ttr_ds1,pre_bullwhip_ds1,pre_bullwhip_ds2,during_bullwhip_ds1,during_bullwhip_ds2,post_bullwhip_ds1,post_bullwhip_ds2,episode_bullwhip_ds1,episode_bullwhip_ds2,policy,premium,coverage,dp_cost
16,16005.0,320.0,16325.0,158690.0,1.0,1.0,1.0,0.0,0,2966.0,819720.0,822686.0,-645556.0,1.0,1.0,1.0,0.0,0,114772.0,108130.0,222902.0,288038.0,1.0,1.0,1.0,0.0,0,133743.0,928170.0,1061913.0,-198828.0,1.0,1.0,1.0,0.0,0,720.0,625.0,2801.0,26936.0,6,1.3072442475964134,1.3072442475964134,1.5232741341613762,1.1017930648593806,1.0999970486275505,1.179776279743141,1.1181943520639295,1.2141714879345726,h1b_gamma,0.0,15768.0,1045588.0
17,15820.0,160.0,15980.0,159320.0,1.0,1.0,1.0,0.0,0,3180.0,838650.0,841830.0,-662555.0,1.0,1.0,1.0,0.0,0,115430.0,97970.0,213400.0,295285.0,1.0,0.999883761478554,0.9999416382152966,0.00011623852144604374,0,134430.0,936780.0,1071210.0,-207950.0,1.0,0.9999308317482276,0.9999653895407192,6.916825177238906e-05,0,725.0,659.0,2907.0,26388.0,6,1.4558622322791135,1.4558622322791135,1.5148487602438525,1.068916024351022,1.1511643812151615,1.1561364845138948,1.1419445110205617,1.2036539558359127,h1b_gamma,0.0,13084.0,1055230.0
18,15639.0,1010.0,16649.0,159221.0,1.0,1.0,1.0,0.0,0,3106.0,819860.0,822966.0,-645401.0,1.0,1.0,1.0,0.0,0,113213.0,98090.0,211303.0,299192.0,1.0,1.0,1.0,0.0,0,131958.0,918960.0,1050918.0,-186988.0,1.0,1.0,1.0,0.0,0,728.0,602.0,2779.0,26343.0,6,1.8332343750000004,1.8332343750000004,1.5251049243348318,1.1181450654782439,1.1469231797453119,1.1538691470518196,1.144521369399065,1.2138136671277169,h1b_gamma,0.0,17328.0,1034269.0
19,15570.0,360.0,15930.0,159935.0,1.0,1.0,1.0,0.0,0,3243.0,830260.0,833503.0,-655548.0,1.0,1.0,1.0,0.0,0,115281.0,101080.0,216361.0,291949.0,1.0,1.0,1.0,0.0,0,134094.0,931700.0,1065794.0,-203664.0,1.0,1.0,1.0,0.0,0,725.0,608.0,2831.0,26772.0,6,1.6570971824418836,1.6570971824418836,1.5258186833215972,1.1155339239962099,1.1218495209105381,1.169343269026058,1.1325571580902059,1.2156128979680128,h1b_gamma,0.0,19501.0,1049864.0
20,15288.0,660.0,15948.0,161607.0,1.0,1.0,1.0,0.0,0,3379.0,822730.0,826109.0,-647609.0,1.0,1.0,1.0,0.0,0,116774.0,104510.0,221284.0,288436.0,1.0,1.0,1.0,0.0,0,135441.0,927900.0,1063341.0,-197566.0,1.0,1.0,1.0,0.0,0,717.0,647.0,2854.0,26503.0,6,1.1547557704757752,1.1547557704757752,1.5335607770433664,1.0574552729110596,1.0538295879575768,1.160829889114817,1.1017240535078714,1.1987568001029727,h1b_gamma,0.0,15177.0,1047393.0
21,15703.0,770.0,16473.0,159832.0,1.0,1.0,1.0,0.0,0,3784.0,821090.0,824874.0,-648379.0,1.0,1.0,1.0,0.0,0,114365.0,94690.0,209055.0,300355.0,1.0,1.0,1.0,0.0,0,133852.0,916550.0,1050402.0,-188192.0,1.0,1.0,1.0,0.0,0,718.0,606.0,2828.0,26217.0,6,1.7424887614962679,1.7424887614962679,1.5664273097793624,1.0949415655343882,1.103552129061816,1.1371232688487316,1.1315861206141973,1.2040433616045612,h1b_gamma,0.0,19979.0,1033929.0
22,15704.0,260.0,15964.0,161436.0,1.0,0.9996685998342999,0.9998343273691186,0.000331400165700102,0,3473.0,824020.0,827493.0,-649808.0,1.0,1.000346680533888,1.0001741705129321,-0.0003466805338880885,0,119655.0,97310.0,216965.0,293735.0,0.999708862233609,1.0,0.9998543038638615,-0.0002911377663910031,0,138832.0,921590.0,1060422.0,-194637.0,0.9998271391529818,1.0,0.9999136039258376,-0.00017286084701817472,0,725.0,613.0,2822.0,26614.0,6,1.4814631077742948,1.4814631077742948,1.5490509802410786,1.1198682051226094,1.1390052142670117,1.105501061544624,1.1389403218786782,1.1916886326452292,h1b_gamma,0.0,17041.0,1044458.0
23,16007.0,200.0,16207.0,159158.0,1.0,1.0,1.0,0.0,0,3144.0,816510.0,819654.0,-641894.0,1.0,1.0,1.0,0.0,0,123569.0,105350.0,228919.0,282456.0,1.0,1.0,1.0,0.0,0,142720.0,922060.0,1064780.0,-200280.0,1.0,1.0,1.0,0.0,0,710.0,625.0,2822.0,26560.0,6,1.6725207416351813,1.6725207416351813,1.5184485776048706,1.0881730045618108,1.2262688098112917,1.1009929127663247,1.145725603209115,1.1704495981334113,h1b_gamma,0.0,20397.0,1048573.0
24,16141.0,380.0,16521.0,158669.0,1.0,1.0,1.0,0.0,0,3160.0,832600.0,835760.0,-656910.0,1.0,1.0,1.0,0.0,0,115606.0,96770.0,212376.0,299639.0,1.0,1.0,1.0,0.0,0,134907.0,929750.0,1064657.0,-198602.0,1.0,1.0,1.0,0.0,0,720.0,618.0,2834.0,26006.0,6,1.7023384124415677,1.7023384124415677,1.5433476962455586,1.093666551126268,1.1595073459579919,1.1470045322146198,1.1477346550491274,1.2067902183775068,h1b_gamma,0.0,18438.0,1048136.0
25,15396.0,530.0,15926.0,160644.0,1.0,1.0,1.0,0.0,0,3547.0,806840.0,810387.0,-633797.0,1.0,1.0,1.0,0.0,0,118702.0,97070.0,215772.0,297168.0,1.0,1.0,1.0,0.0,0,137645.0,904440.0,1042085.0,-175985.0,1.0,1.0,1.0,0.0,0,720.0,575.0,2741.0,26288.0,6,1.287835097001764,1.287835097001764,1.530338698667279,1.0971270879351587,1.1542018781497867,1.1197283122521131,1.1419116912055647,1.1913290469441906,h1b_gamma,0.0,17569.0,1026159.0
